Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Polarized_Small,CP_Radial_D12.5mm_P5.00mm,77.724,-48.006,0.0,top
C2,C_Small,C_0805_2012Metric,42.418,-102.108,0.0,top
C3,C_Small,C_0805_2012Metric,42.418,-100.076,0.0,top
C4,C_Small,C_0805_2012Metric,60.198,-104.648,-90.0,top
C5,C_Small,C_0805_2012Metric,62.23,-104.648,-90.0,top
C6,C_Small,C_0805_2012Metric,60.198,-108.204,90.0,top
C7,C_Small,C_0805_2012Metric,62.23,-108.204,90.0,top
C8,C_Small,C_0805_2012Metric,65.786,-102.87,-90.0,top
C9,C_Small,C_0805_2012Metric,67.818,-102.87,-90.0,top
C10,C_Small,C_0805_2012Metric,65.786,-106.426,90.0,top
C11,C_Small,C_0805_2012Metric,67.818,-106.426,90.0,top
C12,C_Small,C_0805_2012Metric,74.422,-111.252,0.0,top
C13,C_Small,C_0805_2012Metric,74.422,-109.22,0.0,top
C14,C_Small,C_0805_2012Metric,51.308,-95.946,-90.0,top
C15,C_Small,C_0805_2012Metric,51.308,-101.666,90.0,top
C16,C_Small,C_0805_2012Metric,111.506,-87.376,90.0,top
C17,C_Small,C_0805_2012Metric,111.506,-83.82,90.0,top
C18,C_Small,C_0805_2012Metric,99.568,-83.82,90.0,top
C19,C_Small,C_0805_2012Metric,99.568,-87.376,90.0,top
C20,C_Small,C_0805_2012Metric,87.395,-83.82,90.0,top
C21,C_Small,C_0805_2012Metric,87.395,-87.376,90.0,top
C22,C_Small,C_0805_2012Metric,77.621,-83.856,90.0,top
C23,C_Small,C_0805_2012Metric,75.457,-87.376,90.0,top
C24,C_Small,C_0805_2012Metric,117.602,-77.47,-90.0,top
C25,C_Small,C_0805_2012Metric,117.602,-73.914,-90.0,top
C26,C_Small,C_0805_2012Metric,103.632,-77.47,-90.0,top
C27,C_Small,C_0805_2012Metric,103.632,-73.914,-90.0,top
C28,C_Small,C_0805_2012Metric,93.726,-77.47,-90.0,top
C29,C_Small,C_0805_2012Metric,93.726,-73.914,-90.0,top
C30,C_Small,C_0805_2012Metric,81.534,-77.47,-90.0,top
C31,C_Small,C_0805_2012Metric,81.534,-73.914,-90.0,top
C32,C_Small,C_0805_2012Metric,34.798,-79.106,90.0,top
C33,C_Polarized_Small,CP_Radial_D12.5mm_P5.00mm,104.648,-48.006,0.0,top
C34,C_Small,C_0805_2012Metric,36.83,-79.106,90.0,top
C35,C_Small,C_0805_2012Metric,88.224,-112.3485,270.0,bottom
C36,C_Polarized_Small,CP_Radial_D12.5mm_P5.00mm,91.186,-48.006,0.0,top
C37,C_Polarized_Small,CP_Radial_D12.5mm_P5.00mm,117.856,-48.006,0.0,top
C38,C_Small,C_0805_2012Metric,44.196,-82.804,90.0,top
C39,C_Small,C_0805_2012Metric,31.242,-106.68,180.0,bottom
C40,C_Small,C_0805_2012Metric,28.448,-102.616,90.0,top
C41,C_Small,C_0805_2012Metric,66.294,-75.438,0.0,top
C42,C_Small,C_0805_2012Metric,55.88,-107.696,180.0,top
C43,C_Small,C_0805_2012Metric,29.3415,-114.996,90.0,bottom
C44,C_Small,C_0805_2012Metric,43.18,-101.092,270.0,bottom
C45,C_Small,C_0805_2012Metric,64.77,-69.977,135.0,bottom
C46,C_Small,C_0805_2012Metric,118.11,-98.552,90.0,bottom
C47,C_Small,C_0805_2012Metric,62.738,-43.327,270.0,bottom
C48,C_Small,C_0805_2012Metric,36.195,-42.159,180.0,top
D1,D_Schottky_Small,D_MELF,76.454,-33.782,-90.0,top
D2,SP0504BAHT,SOT-23-5,66.04,-93.472,90.0,top
D4,LED,LED_PLCC-2_3.4x3.0mm_AK,48.133,-28.067,180.0,top
D5,D_Zener_Small,C_1206_3216Metric,46.99,-96.471,-90.0,top
D6,D_Zener_Small,C_1206_3216Metric,46.99,-101.141,90.0,top
J1,Conn_01x02,PinHeader_2x01_P2.54mm_Vertical,32.639,-40.894,-90.0,top
J2,MX23A18NF1,MX23A18NF1,50.8,-131.572,0.0,top
J3,MX23A18NF1,MX23A18NF1,94.996,-131.572,0.0,top
J4,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,38.862,-110.236,-90.0,top
J5,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Vertical,31.999,-54.615,180.0,top
J6,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,98.821,-110.495,-90.0,top
J7,ST-TF-003A,ST-TF-003A,65.786,-33.147,180.0,bottom
JP1,Jumper_3_Open,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,46.8575,-106.69,-90.0,top
JP2,Jumper_3_Open,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,49.032,-92.5885,0.0,top
JP3,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,51.308,-107.442,180.0,top
JP4,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,57.658,-91.948,180.0,top
L1,L_Small,L_12x12mm_H4.5mm,86.106,-33.782,-90.0,top
Q1,IPLU300N04S4R8XTMA1,TRANS_IPLU300N04S4R8XTMA1,92.787,-100.058,90.0,bottom
Q2,IPLU300N04S4R8XTMA1,TRANS_IPLU300N04S4R8XTMA1,113.774,-109.397,0.0,bottom
Q3,BTN8982TA,TO-263-7_TabPin8,114.573,-98.044,-90.0,top
Q4,BTN8982TA,TO-263-7_TabPin8,102.635,-98.044,-90.0,top
Q5,BTN8982TA,TO-263-7_TabPin8,90.697,-98.044,-90.0,top
Q6,BTN8982TA,TO-263-7_TabPin8,78.759,-98.044,-90.0,top
Q7,BTN8982TA,TO-263-7_TabPin8,114.3,-63.246,90.0,top
Q8,BTN8982TA,TO-263-7_TabPin8,102.343,-63.246,90.0,top
Q9,BTN8982TA,TO-263-7_TabPin8,90.424,-63.246,90.0,top
Q10,BTN8982TA,TO-263-7_TabPin8,78.486,-63.246,90.0,top
Q12,Q_NPN_BCE,SOT-23,42.799,-29.591,180.0,top
Q13,Q_NPN_BCE,SOT-23,38.862,-29.591,0.0,top
R1,R_Small,R_0805_2012Metric,96.012,-40.64,-90.0,top
R2,R_Small,R_0805_2012Metric,33.274,-85.344,0.0,top
R3,R_Small,R_0805_2012Metric,61.214,-101.854,0.0,top
R4,R_Small,R_0805_2012Metric,61.1105,-110.998,0.0,top
R5,R_Small,R_0805_2012Metric,66.802,-100.076,0.0,top
R6,R_Small,R_0805_2012Metric,66.802,-98.044,0.0,top
R7,R_Small,R_0805_2012Metric,66.802,-111.252,0.0,top
R8,R_Small,R_0805_2012Metric,66.802,-109.22,0.0,top
R9,R_Small,R_0805_2012Metric,70.866,-113.284,180.0,top
R10,R_Small,R_0805_2012Metric,74.422,-113.284,180.0,top
R11,R_Small,R_0805_2012Metric,71.628,-110.49,-90.0,top
R12,R_Small,R_0805_2012Metric,49.276,-95.9085,-90.0,top
R13,R_Small,R_0805_2012Metric,59.436,-97.282,90.0,top
R14,R_Small,R_0805_2012Metric,61.468,-97.282,-90.0,top
R15,R_Small,R_0805_2012Metric,57.658,-94.234,180.0,top
R16,R_Small,R_0805_2012Metric,54.102,-94.234,180.0,top
R17,R_Small,R_0805_2012Metric,49.276,-101.7035,90.0,top
R18,R_Small,R_0805_2012Metric,56.134,-104.648,90.0,top
R19,R_Small,R_0805_2012Metric,54.102,-104.648,-90.0,top
R20,R_Small,R_0805_2012Metric,50.292,-104.902,0.0,top
R21,R_Small,R_0805_2012Metric,54.102,-92.202,0.0,top
R22,R_Small,R_0805_2012Metric,85.725,-41.783,0.0,top
R23,R_Small,R_0805_2012Metric,98.044,-40.64,-90.0,top
R24,R_Small,R_0805_2012Metric,32.258,-81.788,180.0,top
R25,R_Small,R_0805_2012Metric,35.814,-81.788,0.0,top
R26,R_Small,R_0805_2012Metric,115.608,-87.376,-90.0,top
R27,R_Small,R_0805_2012Metric,117.64,-87.376,-90.0,top
R28,R_Small,R_0805_2012Metric,113.538,-87.376,90.0,top
R29,R_Small,R_0805_2012Metric,113.538,-83.82,90.0,top
R30,R_Small,R_0805_2012Metric,101.6,-83.82,90.0,top
R31,R_Small,R_0805_2012Metric,101.6,-87.376,90.0,top
R32,R_Small,R_0805_2012Metric,103.651,-87.376,-90.0,top
R33,R_Small,R_0805_2012Metric,105.683,-87.376,-90.0,top
R34,R_Small,R_0805_2012Metric,89.427,-83.82,90.0,top
R35,R_Small,R_0805_2012Metric,89.427,-87.376,90.0,top
R36,R_Small,R_0805_2012Metric,91.459,-87.376,-90.0,top
R37,R_Small,R_0805_2012Metric,93.491,-87.376,-90.0,top
R38,R_Small,R_0805_2012Metric,75.457,-83.82,90.0,top
R39,R_Small,R_0805_2012Metric,77.489,-87.376,90.0,top
R40,R_Small,R_0805_2012Metric,79.521,-87.376,-90.0,top
R41,R_Small,R_0805_2012Metric,81.553,-87.376,-90.0,top
R42,R_Small,R_0805_2012Metric,115.57,-77.47,-90.0,top
R43,R_Small,R_0805_2012Metric,115.57,-73.914,-90.0,top
R44,R_Small,R_0805_2012Metric,113.538,-73.914,90.0,top
R45,R_Small,R_0805_2012Metric,111.506,-73.914,90.0,top
R46,R_Small,R_0805_2012Metric,105.664,-77.47,-90.0,top
R47,R_Small,R_0805_2012Metric,105.664,-73.914,-90.0,top
R48,R_Small,R_0805_2012Metric,101.6,-73.914,90.0,top
R49,R_Small,R_0805_2012Metric,99.568,-73.914,90.0,top
R50,R_Small,R_0805_2012Metric,91.694,-77.47,-90.0,top
R51,R_Small,R_0805_2012Metric,91.694,-73.914,-90.0,top
R52,R_Small,R_0805_2012Metric,89.662,-73.914,90.0,top
R53,R_Small,R_0805_2012Metric,87.63,-73.914,90.0,top
R54,R_Small,R_0805_2012Metric,79.502,-77.47,-90.0,top
R55,R_Small,R_0805_2012Metric,79.502,-73.914,-90.0,top
R56,R_Small,R_0805_2012Metric,77.47,-73.914,90.0,top
R57,R_Small,R_0805_2012Metric,75.438,-73.914,90.0,top
R58,R_Small,R_0805_2012Metric,62.738,-75.438,180.0,top
R59,R_Small,R_1206_3216Metric,29.972,-109.982,90.0,bottom
R60,R_Small,R_1206_3216Metric,32.258,-109.982,90.0,bottom
R61,R_Small,R_1206_3216Metric,32.6435,-116.266,0.0,bottom
R62,R_Small,R_1206_3216Metric,32.6435,-113.98,0.0,bottom
R63,R_Small,R_0805_2012Metric,44.704,-105.918,0.0,bottom
R64,R_Small,R_0805_2012Metric,44.704,-103.886,0.0,bottom
R65,R_Small,R_0805_2012Metric,65.427884,-74.399116,45.0,bottom
R66,R_Small,R_0805_2012Metric,64.080846,-75.746154,45.0,bottom
R67,R_Small,R_0805_2012Metric,63.881,-80.899,90.0,bottom
R68,R_Small,R_0805_2012Metric,61.976,-80.899,90.0,bottom
R69,R_Small,R_0805_2012Metric,66.774922,-73.052078,45.0,bottom
R70,R_Small,R_0805_2012Metric,68.121961,-71.705039,45.0,bottom
R71,R_Small,R_0805_2012Metric,69.469,-70.358,45.0,bottom
R72,R_Small,R_0805_2012Metric,70.816038,-69.010962,45.0,bottom
R73,R_Small,R_0805_2012Metric,58.039,-83.439,90.0,top
R74,R_Small,R_0805_2012Metric,59.055,-78.105,0.0,top
R75,R_Small,R_0805_2012Metric,59.055,-80.01,0.0,top
R76,R_Small,R_0805_2012Metric,59.944,-83.439,90.0,top
R77,R_Small,R_0805_2012Metric,36.8535,-59.69,0.0,top
R78,R_Small,R_0805_2012Metric,36.83,-57.15,0.0,top
R79,R_Small,R_0805_2012Metric,90.17,-112.395,90.0,bottom
R80,R_Small,R_0805_2012Metric,118.11,-102.108,90.0,bottom
R81,R_Small,R_0805_2012Metric,46.609,-43.688,270.0,bottom
R82,R_Small,R_0805_2012Metric,48.641,-43.688,270.0,bottom
R83,R_Small,R_0805_2012Metric,50.673,-43.688,270.0,bottom
R84,R_Small,R_0805_2012Metric,52.705,-43.6645,270.0,bottom
R85,R_Small,R_0805_2012Metric,64.77,-43.307,270.0,bottom
R86,R_Small,R_1206_3216Metric,36.195,-115.189,270.0,bottom
R87,R_Small,R_1206_3216Metric,29.972,-109.982,-90.0,top
R88,R_Small,R_0805_2012Metric,36.195,-39.619,0.0,top
R89,R_Small,R_0805_2012Metric,51.943,-31.75,90.0,top
R90,R_Small,R_0805_2012Metric,50.038,-31.75,90.0,top
R91,R_Small,R_0805_2012Metric,35.814,-29.591,90.0,top
R92,R_Small,R_0805_2012Metric,38.9655,-105.41,180.0,top
U1,~,blue pill,47.752,-60.706,180.0,top
U2,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,37.592,-92.71,90.0,top
U3,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,33.528,-102.616,0.0,top
U4,LM358,SSOP-8_3.9x5.05mm_P1.27mm,55.626,-99.06,-90.0,top
U5,LM2596S-ADJ,TO-263-5_TabPin3,103.886,-33.274,0.0,top
U6,ATtiny24A-SS,SOIC-14_3.9x8.7mm_P1.27mm,64.77,-81.28,0.0,top
U7,MAX9926UAEE+T,SSOP-16_3.9x4.9mm_P0.635mm,37.846,-103.632,0.0,bottom
U8,LTC4357MS8,MSOP-8_3x3mm_P0.65mm,85.344,-110.617,270.0,bottom
U9,LTC4357MS8,MSOP-8_3x3mm_P0.65mm,120.904,-100.33,90.0,bottom
Y1,Crystal_Small,Crystal_HC18-U_Vertical,28.702,-92.71,90.0,top
